


Ferg_test_2 	-->	 Hume
sister_peg_checked_8 	-->	 Hume
sister_peg_checked_9 	-->	 Hume
sister_peg_checked_10 	-->	 Hume
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Hume

700 MFW , culled @ 0%,  380 of 390	(97.4%)



Hume_test_33 	-->	 Ferg
Hume_test_35 	-->	 Ferg
Hume_test_37 	-->	 Ferg
Hume_test_139 	-->	 Ferg
Hume_test_205 	-->	 Ferg
Hume_test_207 	-->	 Ferg
Hume_test_242 	-->	 Ferg
Hume_test_278 	-->	 Ferg
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Hume
sister_peg_checked_3 	-->	 Ferg
sister_peg_checked_4 	-->	 Hume
sister_peg_checked_5 	-->	 Hume
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferg
sister_peg_checked_8 	-->	 Hume
sister_peg_checked_9 	-->	 Hume
sister_peg_checked_10 	-->	 Hume
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Hume

800 MFW , culled @ 0%,  382 of 390	(97.9%)



Hume_test_5 	-->	 Ferg
Hume_test_33 	-->	 Ferg
Hume_test_35 	-->	 Ferg
Hume_test_37 	-->	 Ferg
Hume_test_100 	-->	 Ferg
Hume_test_102 	-->	 Ferg
Hume_test_139 	-->	 Ferg
Hume_test_205 	-->	 Ferg
Hume_test_207 	-->	 Ferg
Hume_test_242 	-->	 Ferg
Hume_test_278 	-->	 Ferg
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Hume
sister_peg_checked_3 	-->	 Ferg
sister_peg_checked_4 	-->	 Hume
sister_peg_checked_5 	-->	 Hume
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferg
sister_peg_checked_8 	-->	 Hume
sister_peg_checked_9 	-->	 Hume
sister_peg_checked_10 	-->	 Hume
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Hume

900 MFW , culled @ 0%,  379 of 390	(97.2%)



Ferg_test_2 	-->	 Hume
Ferg_test_3 	-->	 Hume
Ferg_test_4 	-->	 Hume
Ferg_test_39 	-->	 Hume
Ferg_test_40 	-->	 Hume
Hume_test_1 	-->	 Ferg
Hume_test_2 	-->	 Ferg
Hume_test_3 	-->	 Ferg
Hume_test_91 	-->	 Ferg
Hume_test_106 	-->	 Ferg
Hume_test_107 	-->	 Ferg
Hume_test_195 	-->	 Ferg
Hume_test_240 	-->	 Ferg
Hume_test_241 	-->	 Ferg
Hume_test_243 	-->	 Ferg
Hume_test_276 	-->	 Ferg
Hume_test_277 	-->	 Ferg
Hume_test_279 	-->	 Ferg
sister_peg_checked_1 	-->	 Ferg
sister_peg_checked_2 	-->	 Ferg
sister_peg_checked_3 	-->	 Ferg
sister_peg_checked_4 	-->	 Ferg
sister_peg_checked_5 	-->	 Ferg
sister_peg_checked_6 	-->	 Ferg
sister_peg_checked_7 	-->	 Ferg
sister_peg_checked_8 	-->	 Ferg
sister_peg_checked_9 	-->	 Ferg
sister_peg_checked_10 	-->	 Ferg
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Ferg

100 MFW , culled @ 10%,  372 of 390	(95.4%)



Ferg_test_2 	-->	 Hume
Ferg_test_3 	-->	 Hume
Ferg_test_4 	-->	 Hume
Ferg_test_29 	-->	 Hume
Ferg_test_33 	-->	 Hume
Ferg_test_39 	-->	 Hume
Hume_test_107 	-->	 Ferg
Hume_test_195 	-->	 Ferg
Hume_test_240 	-->	 Ferg
Hume_test_241 	-->	 Ferg
Hume_test_243 	-->	 Ferg
Hume_test_276 	-->	 Ferg
Hume_test_277 	-->	 Ferg
Hume_test_279 	-->	 Ferg
sister_peg_checked_1 	-->	 Ferg
sister_peg_checked_2 	-->	 Ferg
sister_peg_checked_3 	-->	 Ferg
sister_peg_checked_4 	-->	 Ferg
sister_peg_checked_5 	-->	 Ferg
sister_peg_checked_6 	-->	 Ferg
sister_peg_checked_7 	-->	 Ferg
sister_peg_checked_8 	-->	 Ferg
sister_peg_checked_9 	-->	 Ferg
sister_peg_checked_10 	-->	 Ferg
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Ferg

200 MFW , culled @ 10%,  376 of 390	(96.4%)



Ferg_test_1 	-->	 Hume
Ferg_test_2 	-->	 Hume
Ferg_test_3 	-->	 Hume
Ferg_test_4 	-->	 Hume
Hume_test_243 	-->	 Ferg
Hume_test_279 	-->	 Ferg
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Ferg
sister_peg_checked_3 	-->	 Hume
sister_peg_checked_4 	-->	 Ferg
sister_peg_checked_5 	-->	 Ferg
